annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_7;devise;
26003;VENDREDI;24/04/2026;24/07/2026;2;12;16;26;20;2;2-12-16-20-26+2;1;13000000,00;3;101861,80;101;986,40;766;585,20;2773;77,20;25139;38,30;32498;18,40;299573;7,20;366625;3,00;50;20000,00;R 5973 1391, E 8474 4274, O 9499 4029, K 3294 7148, I 6726 2454, Q 1417 7715, J 9962 7555, F 3132 7096, E 1463 7802, H 7574 8767, U 9937 2150, J 5803 1561, S 6193 7495, R 5772 6472, L 4069 4416, O 2252 2231, L 7365 5360, H 7085 4261, L 7371 9143, P 3210 3958, V 4934 6315, J 6791 3510, K 1836 2693, M 0558 8476, R 8407 0986, I 7142 3128, K 9759 2486, V 5340 2424, T 3718 8764, B 5867 6429, M 6083 9943, I 6063 6506, R 8162 3111, J 9957 4989, J 4944 8017, O 8245 6361, P 5721 2215, H 7323 6079, F 2955 3891, C 1469 4630, I 3545 6672, R 6657 9218, S 1435 5562, V 9182 2578, H 1820 7778, U 9538 4712, H 5418 5099, G 5644 7005, J 8804 9812, Q 4313 0415;6886917;eur;
26002;VENDREDI;13/03/2026;12/06/2026;16;40;49;48;17;5;16-17-40-48-49+5;1;13000000,00;6;131598,90;78;3300,20;811;1428,30;4380;126,30;38548;64,50;70448;21,90;609861;9,10;1129598;3,00;50;20000,00;E 2129 7964, S 5844 0791, N 3940 4572, M 3440 2101, L 9188 9033, E 5348 7452, G 8203 5571, M 4543 5925, R 9672 8840, V 2837 0755, Q 3608 9065, F 0440 6461, B 1017 5109, F 9081 6621, I 9267 2454, D 6371 4815, V 9142 5382, U 5156 4417, V 9150 4408, K 2374 9837, A 5748 8163, P 8009 0470, L 0113 3398, I 8303 0142, J 9428 0362, U 2871 7025, R 5115 4026, G 6226 1800, L 6708 2737, M 5814 3364, K 9974 3276, Q 1169 1679, P 9430 0641, T 4555 1687, T 9085 1955, N 5238 1075, S 4161 2991, O 6382 5419, B 9830 8414, L 2809 9621, S 2862 3825, G 1293 4528, U 0153 0828, N 8932 7005, H 6473 1165, P 8304 4137, G 1110 3383, Q 5731 2478, N 7830 7384, P 2062 8767;1287367;eur;
26001;VENDREDI;13/02/2026;15/05/2026;26;5;20;34;39;3;5-20-26-34-39+3;2;6500000,00;5;169170,30;128;2154,40;1102;1126,00;5911;100,20;49435;53,90;85917;19,30;727598;8,20;1206418;3,00;50;20000,00;F 9028 1092, T 5105 1377, V 2986 3116, C 1996 6995, U 0635 7128, A 7494 0125, M 9417 8882, L 9204 7596, C 5554 8463, H 4281 5362, Q 5302 0564, J 1237 1656, M 5601 3501, G 9439 5445, J 5375 7133, B 7563 3770, G 7768 7207, N 0838 1274, K 3469 3577, O 9947 3344, E 3233 9937, T 1613 5730, E 5809 0690, B 2457 2430, G 6771 1800, A 3443 9983, N 1079 5409, F 7933 4084, F 9577 9229, M 1982 4786, P 6554 8451, J 4298 1340, I 8029 7228, P 4403 2452, B 0128 1767, B 5139 5836, N 0621 7250, T 7018 2701, B 3786 5729, V 5076 8929, P 0531 4405, Q 0878 2125, H 9269 7986, N 4301 5645, V 5156 3383, N 0105 7441, L 3371 8967, A 5365 5600, N 8856 9509, M 3124 0662;7302901;eur;
25004;VENDREDI;31/10/2025;30/01/2026;10;36;24;40;26;10;10-24-26-36-40+10;0;13000000,00;4;103832,90;63;2149,30;534;1141,00;2386;121,90;23686;55,20;35495;22,90;345430;8,40;478491;3,00;50;20000,00;G 4124 3150, A 7667 7835, E 9727 1003, G 8680 5031, G 2134 5267, U 5538 4474, T 6376 6158, C 3496 4204, Q 2673 1538, M 5888 9007, D 9980 1958, B 9915 6749, B 2260 0474, T 6070 9595, C 3450 6561, C 2370 7484, K 7383 8334, U 4008 6085, K 4239 9950, N 8997 7047, D 5266 0883, J 0966 9300, S 6888 9372, J 7108 6651, T 6760 5926, S 3359 9625, I 1933 7306, Q 3950 8875, D 0482 5632, F 7007 6554, I 6260 9717, N 7429 5007, G 2486 5408, V 6215 1213, L 1545 2998, J 8115 0388, V 9067 3407, J 3035 2984, C 0029 8174, Q 0484 3675, I 6662 4839, V 9081 1805, J 2494 1994, D 3014 8309, T 0503 7877, P 2030 7209, V 9072 1363, P 0805 3907, F 4555 3258, S 6568 1438;6149481;eur;
25003;VENDREDI;19/09/2025;19/12/2025;37;4;44;30;28;4;4-28-30-37-44+4;0;18000000,00;1;207012,60;28;2410,30;269;1129,00;1461;99,20;11967;54,50;20606;19,70;174030;8,40;277086;3,00;50;20000,00;A 5603 5546, T 9971 7496, A 9484 3134, L 1089 9820, M 5864 6916, L 7147 8931, S 9958 0177, A 6973 5360, O 9522 8237, U 2200 9870, B 8154 8680, T 1178 8999, U 4195 1281, G 7318 6236, E 3485 6767, T 0492 8734, I 1176 2546, M 5293 1508, S 4212 6771, E 8985 2643, B 1123 1073, Q 0883 2248, M 2925 3927, F 4041 5144, B 2412 9118, V 9049 0199, C 7184 3722, G 3288 4904, B 7862 0472, I 1736 0216, C 1738 0698, N 2368 1675, Q 2705 0742, T 7401 5484, R 2942 3697, F 2066 0931, R 7088 0762, D 5900 3758, A 8397 6459, V 9052 5500, G 0851 3944, K 8795 2052, R 3055 0223, R 3111 9071, L 3589 7013, O 3219 4109, H 1001 2951, Q 0175 8444, V 9060 5546, K 5747 7700;4808891;eur;
25002;VENDREDI;13/06/2025;12/09/2025;28;8;19;39;42;9;8-19-28-39-42+9;0;13000000,00;14;48463,80;140;1580,00;1349;737,80;4875;97,50;44915;47,60;67046;19,80;605322;7,90;893393;3,00;50;20000,00;N 3478 6324, E 2823 2321, B 9810 6176, O 0551 3382, U 2009 9467, R 2501 1776, L 7233 2138, C 9791 5305, V 9044 6535, H 0219 3719, B 7800 0840, L 6635 4147, U 3601 0627, M 4061 7946, C 7276 3375, R 2866 7659, V 9034 2659, V 9019 9511, H 6186 7741, V 1010 8028, L 1803 4432, N 2931 3673, S 3404 4231, P 5940 0136, N 5289 7598, H 5674 2920, M 8305 3266, B 8948 1460, V 9038 5437, B 1467 2290, N 3147 6448, J 9806 1740, P 1355 9899, E 8957 5523, O 2416 3544, G 4499 5820, N 0065 9551, H 4388 2292, S 1176 8316, A 2367 2758, V 9023 9860, U 4051 6915, N 4304 3106, R 9489 3040, F 5621 8708, U 3576 4822, G 4101 0002, C 9235 7875, S 3661 6260, R 5843 7259;6301201;eur;
25001;VENDREDI;14/02/2025;16/05/2025;9;17;45;46;10;3;9-10-17-45-46+3;0;13000000,00;5;108124,90;73;2414,40;615;1289,60;3647;103,80;31183;54,60;56198;18,80;478695;7,90;754733;3,00;50;20000,00;B 9562 8147, O 9923 4432, H 2851 6676, O 9049 0412, C 2208 9331, E 0718 5121, R 7875 8950, N 8387 6445, M 6809 4028, I 9503 7695, V 8994 0311, H 2287 9141, S 2518 6106, D 4125 8296, V 2761 3619, S 0031 4949, S 8193 7151, B 7588 6639, V 8987 8275, T 9087 5055, M 8158 8302, N 8880 7406, L 0633 1738, V 1709 9892, O 2092 7840, Q 6548 7551, M 2057 3932, H 0137 4621, S 6740 4961, B 4739 3606, A 1916 6373, F 0361 3051, G 3095 8823, P 2887 1915, G 9129 3200, S 0204 8594, V 8983 7258, I 7940 0961, A 3006 9316, T 1504 8997, I 6257 2209, P 7201 3822, Q 5174 9519, A 6989 3562, U 0580 3774, T 1676 9211, N 6416 7005, E 2891 9308, P 3600 7363, O 1792 1920;7361055;eur;
24005;MARDI;31/12/2024;01/04/2025;23;5;45;24;3;8;3-5-23-24-45+8;1;13000000,00;3;178333,90;76;2295,00;721;1088,60;3928;95,40;34593;48,70;56732;18,50;502291;7,50;709416;3,00;50;20000,00;S 5442 6837, T 3431 9695, M 8427 8528, J 7625 8651, Q 5921 3653, Q 9140 2394, F 5097 7382, E 4249 7632, P 6638 0153, Q 9357 7289, T 2996 1454, L 5720 2718, G 8263 8069, O 6183 4065, J 3139 0591, V 8963 9379, N 7157 2572, V 3622 9634, G 8326 3112, A 1823 3865, H 5275 7936, V 8977 6283, V 4094 1346, U 2164 5593, P 5348 0751, N 3395 7143, R 9081 5714, V 7137 2635, J 1428 7101, I 1189 6938, K 9443 3497, U 5978 8370, M 5430 9469, E 7092 5044, B 2249 5579, S 8637 2665, J 3963 4156, V 6760 4268, C 7626 5136, V 5548 8014, M 4987 7539, M 2573 4527, F 6897 7943, I 9505 9633, B 2616 2523, S 8211 7674, Q 0430 1573, O 7534 4309, I 5412 0206, E 9103 7022;6011512;eur;
24004;VENDREDI;13/12/2024;14/03/2025;29;2;4;9;27;4;2-4-9-27-29+4;1;13000000,00;12;71927,30;207;1359,40;1861;680,40;8260;73,20;68737;39,50;101469;16,60;863194;7,00;1130551;3,00;50;20000,00;N 0918 7427, S 3918 3517, J 6962 5679, B 6976 1131, V 8902 7403, U 4543 8960, E 8731 8600, K 7692 1692, S 0570 5970, I 1773 8202, Q 0741 8373, N 6186 3640, L 8168 7221, H 7218 5041, U 3259 4181, V 8919 0442, G 3211 9993, O 6622 8279, J 6045 4342, J 7769 9316, D 7814 3449, D 1119 8955, V 3731 8027, S 8402 5758, K 9090 2190, J 9406 9528, P 2414 8308, P 7116 6610, C 7284 7720, K 7567 8694, P 1174 6183, D 7879 1314, N 9519 9776, R 4023 7955, R 7507 2422, C 9448 3234, G 0568 0918, R 5552 1279, C 3848 5079, S 1258 1496, P 7386 4544, F 5985 8162, C 8607 1611, T 2067 0094, O 4572 8688, K 6886 5744, K 1527 0934, B 7083 7686, N 3184 1433, H 7463 7701;1661587;eur;
24003;JEUDI;31/10/2024;30/01/2025;18;15;3;19;9;9;3-9-15-18-19+9;1;13000000,00;1;252363,40;80;1028,40;534;693,30;2521;70,10;20346;39,10;29686;16,60;256122;6,90;319889;3,00;50;20000,00;H 6838 9056, N 6140 7087, O 2893 5046, V 8895 7015, I 1162 3117, V 2239 3140, H 8844 0459, K 9993 9522, Q 8822 9994, S 9062 0689, D 7603 3458, K 0375 5136, B 9064 6906, C 7799 6520, U 9374 7270, B 9756 3533, Q 2948 5135, T 1918 0845, G 4148 6432, O 8084 8296, O 9992 3518, Q 2945 1635, N 6410 3851, H 7421 4104, T 6992 5752, B 4610 5226, E 9800 0026, G 2117 2203, G 7141 5935, M 2413 2896, D 2414 9515, T 2642 7581, E 4753 7835, C 1739 7425, N 7530 5944, H 8614 4883, J 8676 5540, M 2526 8543, S 7356 3428, P 3374 9943, T 3996 3392, C 2606 6552, V 5339 9533, T 8620 7930, V 8889 8864, A 8744 9493, N 3866 2705, F 0954 4210, E 9393 0194, A 8204 0327;4564576;eur;
24002;VENDREDI;13/09/2024;13/12/2024;23;19;45;40;18;9;18-19-23-40-45+9;0;13000000,00;4;195220,10;110;2293,50;938;1213,50;4831;112,90;42439;57,80;73533;20,70;653617;8,40;1024403;3,00;50;20000,00;O 8799 2076, E 5785 9623, T 1109 8008, V 7041 5538, E 0826 8995, U 1527 1316, R 8086 5449, E 7869 1671, M 6908 8143, I 4183 0241, M 9498 3963, J 7861 1162, J 1780 0401, J 0733 7682, M 5563 2566, H 7747 2038, H 9055 3362, H 0674 9543, S 8313 8745, F 2001 9699, D 9122 6181, R 4912 3617, S 0692 3928, E 3223 3249, T 4681 7513, G 0574 1209, F 4395 6761, D 8111 1266, N 5680 8192, M 1906 1297, R 5730 8432, V 1092 2813, I 3824 8589, T 2935 1225, C 7456 5539, H 0221 0094, R 8754 0383, B 3268 8718, S 0660 3524, P 6717 4203, M 2496 4019, N 2113 4186, F 1139 2924, R 6410 7334, A 2212 3201, T 3000 5407, G 1543 7554, I 0738 4193, N 1767 8990, C 4645 2605;4597506;eur;
24001;VENDREDI;05/07/2024;04/10/2024;5;7;12;11;3;2;3-5-7-11-12+2;0;13000000,00;11;20957,70;92;791,10;946;355,60;2367;67,70;24956;28,90;25904;17,30;259505;6,20;270118;3,00;50;20000,00;G 3051 4150, H 5015 1400, V 8827 5044, C 1363 6980, C 5944 5157, V 6602 5328, V 8827 1443, T 4133 8900, C 5031 2618, V 7051 7509, M 8092 4506, R 8254 6164, A 3433 2979, D 7742 7909, H 3609 2464, E 5232 3845, D 0370 3655, J 9198 9407, F 7070 8298, V 0757 7354, V 8832 9069, L 4890 4253, O 5064 9930, K 2500 7851, J 2648 7812, T 7299 1629, R 5311 2781, J 2273 2933, A 5392 4406, B 9883 3601, O 4041 8403, R 4610 4395, R 7225 9683, R 5261 7161, V 4702 0001, I 8546 1375, H 4601 0041, V 6837 8074, T 0311 5254, S 9447 3277, G 8300 7857, K 0733 2212, M 3396 0586, V 7101 0772, N 7963 3911, E 8512 0764, D 2069 9392, C 3840 5861, Q 3381 4880, D 4938 1527;9254387;eur;
23005;DIMANCHE;31/12/2023;31/03/2024;30;28;9;10;13;9;9-10-13-28-30+9;0;13000000,00;4;133700,60;118;1452,90;1127;693,10;4779;77,90;43609;38,40;59917;17,40;542409;6,90;670733;3,00;50;20000,00;O 9844 7880, O 6119 8075, L 8863 7580, R 5610 6232, O 7828 0384, A 5807 3373, M 0821 7400, J 1709 3919, G 7980 9924, V 2139 3115, V 0612 3429, O 9808 7714, N 8744 0554, C 1056 3063, D 6061 9407, F 0030 6854, F 8708 1742, O 8715 4520, K 8640 1355, J 8649 6499, J 9507 9059, O 5504 9677, A 3016 0010, J 3754 9298, R 7394 9551, F 6785 3882, P 6787 3280, K 3660 2233, U 7521 1022, V 8778 3740, V 1066 7188, J 0753 6468, E 5637 7680, R 7344 8359, P 9724 1770, A 1036 3635, H 9689 7334, P 5669 0954, L 7685 8991, N 8670 3534, D 6635 1967, M 9511 8884, N 0981 1902, H 2458 2154, K 4766 9935, S 2208 4101, R 4706 3474, P 6601 6347, U 2529 5234, G 5780 7678;5471567;eur;
23004;VENDREDI;13/10/2023;12/01/2024;39;21;7;25;41;6;7-21-25-39-41+6;1;13000000,00;8;100582,90;80;3279,10;1168;1009,80;4822;116,60;48159;52,50;70854;22,20;692979;8,10;977580;3,00;50;20000,00;K 0997 9927, R 6810 3694, P 7623 5780, A 2154 6985, T 0979 5168, I 0461 4077, A 3684 5534, V 2431 8542, T 6192 7545, N 7036 6047, N 8176 2276, V 3173 9347, T 5181 3745, J 0524 6157, F 9940 5520, T 7209 8565, M 4944 9223, Q 4478 4624, K 7959 9808, J 3188 1870, P 7903 3218, B 0546 2306, S 0913 5973, R 2165 4876, L 9053 5388, E 4280 5463, A 6864 8517, J 6716 1520, J 6296 2910, L 7346 3195, M 2696 3913, V 4145 5228, A 2225 8908, L 5652 8731, T 3657 0874, V 5921 7024, F 9124 1074, P 9231 5538, B 0849 2029, O 2474 4989, V 3809 3509, U 8324 1717, F 9070 4936, S 3621 5323, O 6810 7934, J 5834 9888, G 7668 4383, I 6314 1113, S 5464 0065, S 8872 5475;6460098;eur;
23003;VENDREDI;15/09/2023;15/12/2023;29;2;30;10;46;3;2-10-29-30-46+3;0;17000000,00;1;192777,60;33;1904,50;278;1017,30;1449;92,70;12009;50,00;19282;19,40;168109;8,00;266008;3,00;50;20000,00;E 2401 5792, B 2939 9987, P 0547 4978, T 6736 8567, H 4705 6740, U 8570 2803, B 7489 6600, U 1935 2577, V 8202 5974, I 2317 9922, G 8725 2363, T 3740 4683, T 0490 3116, G 4244 9619, J 5857 2061, N 0668 0518, U 2094 4111, D 4073 7979, E 4954 5264, U 7450 0832, M 1361 1302, I 2631 6693, J 1195 9789, A 4366 8410, Q 1617 7259, R 3667 6026, U 1309 5448, M 0407 9220, M 3423 2962, T 4200 7622, S 6417 2109, T 0521 0432, R 0821 0849, T 1294 2379, A 9050 6010, F 1797 4532, B 0646 5615, B 7487 4326, G 4821 9755, K 5235 0577, Q 7430 8557, N 6471 0690, I 7929 8364, M 6204 5126, Q 5754 1761, V 8734 9048, M 9768 2166, P 4991 8767, G 1262 9876, E 8826 3405;5955529;eur;
