annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_7;devise;
23002;MARDI;14/02/2023;16/05/2023;35;48;24;12;21;1;12-21-24-35-48+1;0;13000000,00;2;248299,00;53;3054,70;708;1027,50;2821;122,60;31722;49,10;38844;24,90;430431;8,10;536457;3,00;50;20000,00;C 0056 2023, J 1466 1308, D 5952 8879, J 3523 4028, F 0944 3491, B 7642 5289, A 4733 6418, V 7246 4459, Q 4727 8194, H 1315 8071, V 5885 8783, K 3820 1909, Q 3484 9712, H 4020 2312, F 7151 4242, S 4169 2774, B 3249 0631, J 6244 1743, V 8718 1946, C 8971 2580, U 3624 7993, L 1698 5426, K 3855 8618, I 5998 9761, P 6040 8662, R 7425 7001, V 7690 9314, A 3900 4412, R 7739 3098, P 3574 0342, S 0007 1834, R 6699 3701, V 8705 7240, D 6644 1085, N 3365 9355, M 5185 2987, S 0312 5529, D 6944 2336, J 8921 1671, H 6070 0091, T 3623 6779, S 3615 3180, J 4017 9660, H 1334 7872, L 1323 3849, T 6397 5069, A 9560 5892, H 4861 1514, H 3977 6956, K 7015 6297;6749297;eur;
23001;VENDREDI;13/01/2023;14/04/2023;20;35;6;25;48;4;6-20-25-35-48+4;0;16000000,00;4;209815,00;113;2400,10;961;1275,90;5021;116,50;45227;58,30;75264;21,80;684416;8,60;1116697;3,00;50;20000,00;J 3873 3308, A 2324 0940, G 7299 1737, H 3420 4749, M 3654 3230, D 5183 9705, T 2832 7771, T 7234 8278, K 5373 7054, I 3611 6684, Q 5004 7460, N 6704 2840, M 0586 5119, H 4183 7646, P 1543 1703, S 3888 7911, T 3988 2947, P 5918 9819, F 1235 9442, U 0908 1643, N 7038 3271, R 5296 5248, E 7379 5488, I 9418 4001, T 8658 8744, S 7018 6208, A 1494 0449, A 2266 3356, L 1788 5215, A 3836 0998, C 0615 5165, B 9297 7094, H 5185 4346, D 8018 7348, S 1934 6463, B 6076 2829, O 5981 0096, M 3055 7704, S 5036 6469, S 0201 1457, L 0556 1096, E 0666 0431, M 6998 7414, F 7920 0840, M 2301 9655, V 4121 4250, V 8677 6818, H 4129 8769, I 0536 9441, K 5058 5946;4893810;eur;
22005;VENDREDI;07/10/2022;06/01/2023;9;16;29;8;40;4;8-9-16-29-40+4;0;19000000,00;1;265725,40;40;2165,70;375;1034,00;1950;94,60;16945;49,00;26821;19,20;238825;7,70;347758;3,00;50;20000,00;I 5340 5783, N 2518 6438, D 0015 0184, R 9541 9497, V 8641 1344, O 2210 1832, I 6471 0033, M 6884 9067, D 5211 1803, B 8750 8708, T 8187 7424, E 5944 5433, V 8640 6022, D 4693 4599, L 5818 8633, L 1744 2192, H 6631 5302, B 3377 6787, K 0176 2968, K 9334 2023, R 1011 8589, D 1929 2597, A 3384 7398, H 2372 7728, C 0313 7999, F 5615 1778, L 0420 2259, R 9621 7924, S 6605 5375, V 8116 8501, V 1160 5533, Q 9542 0987, B 4080 1335, C 4750 2017, E 3399 2933, J 1539 8774, V 8632 8051, M 4118 9765, N 4399 5800, H 0794 2446, O 5470 7827, B 5481 8981, V 8639 6640, V 8649 1832, J 2016 3440, V 8646 9981, L 1796 6067, V 8641 8732, T 6732 4692, I 4454 6948;2175623;eur;
22004;VENDREDI;16/09/2022;16/12/2022;48;36;30;34;2;10;2-30-34-36-48+10;0;13000000,00;0;221055,60;23;12744,50;228;1422,40;1133;135,80;10802;64,00;16880;25,40;165381;9,30;251838;3,00;50;20000,00;T 8451 4586, L 6683 4761, J 4191 8030, P 3238 0964, I 4520 2515, R 9934 5279, R 1875 7521, P 1613 4855, M 7301 8598, R 2985 7518, G 0033 8136, F 0978 8590, R 2452 4634, C 6596 0014, K 0707 1453, R 7599 2942, R 3408 0558, C 0480 7810, V 1571 5358, M 5827 8516, V 8621 1344, F 4040 7786, H 9176 9679, T 3247 8049, I 8626 0904, C 3261 7823, B 3001 2540, B 3329 3092, M 7956 0585, B 7494 2975, J 4895 1202, U 2768 2982, P 3731 0091, S 3314 0012, O 7967 7998, U 1574 0027, D 6373 0361, M 7732 5499, E 5934 3982, O 4314 4538, F 6695 4095, O 7941 7599, F 5474 8610, N 9711 1782, N 3172 7839, V 5539 0079, Q 1090 1567, M 2171 3412, P 7856 4373, G 8590 2963;4781775;eur;
20222003;VENDREDI;01/07/2022;31/08/2022;39;2;1;26;48;9;1-2-26-39-48+9;0;13000000;2;188505,5;53;2319,1;396;1396,7;2266;116,5;20272;58,6;34019;21,7;305614;8,7;488460;3;50;20000;C 7273 0900,I 4378 7713,D 2845 0645,K 5191 0808,F 1223 3813,J 4212 7121,P 9618 8877,K 2660 4146,U 1020 9696,V 7308 3918,F 4069 9247,T 2348 6351,O 9268 7885,C 5977 7009,V 5413 9081,V 1855 6942,V 8613 9030,L 8427 1256,S 3394 6131,G 9912 1005,J 2821 6475,C 2251 7119,E 4434 8772,E 3521 2182,R 1592 1264,A 3870 4657,T 6410 5467,S 8190 7482,S 4720 6664,U 9732 4726,K 0427 9621,J 4386 9546,C 6949 4076,R 5433 8075,M 4495 7671,F 6350 1667,D 6994 1444,B 6935 9136,N 1004 4808,F 2307 3057,B 7313 9008,V 2608 7822,O 7808 5819,R 8023 0607,M 2849 3334,G 9491 1974,C 6014 4544,G 8575 3806,B 2721 9842,S 2803 3028;3491802;eur;
20222002;VENDREDI;13/05/2022;13/07/2022;2;45;10;9;27;1;2-9-10-27-45+1;0;13000000;10;87159,6;127;2237,4;1414;904,3;5513;110,7;62110;44,2;74448;22,9;820245;7,5;932167;3;50;20000;Q 7952 6775,G 8814 9546,Q 1295 2338,R 3891 8292,F 5545 8202,U 2924 7659,L 0531 9501,H 1497 4004,H 1996 2587,S 7752 1778,T 8737 8161,N 7405 4761,Q 9560 8868,O 3981 5329,B 7045 7238,E 9652 4836,G 0581 1070,S 1006 1362,S 8713 1581,N 5799 5935,C 1780 9458,O 1493 0449,A 6983 4527,P 4992 2403,D 8067 9729,P 0634 0234,T 5943 7975,E 8362 2774,D 9773 0190,B 3294 7920,J 2696 9437,L 0022 1922,I 7369 0088,O 5458 1647,R 4536 5680,C 4524 7559,S 9130 8912,M 3404 5699,M 2723 2477,H 9559 4170,A 9535 1695,O 4330 8926,G 1012 6609,K 5806 2495,H 3343 2645,F 1607 7352,T 5508 7163,O 9926 3093,S 0873 7271,D 2180 6669;0189230;eur;
20222001;VENDREDI;01/04/2022;01/06/2022;13;1;30;10;35;10;1-10-13-30-35+10;0;13000000;1;512981,1;71;2355,5;838;898;3686;97,5;35996;44,9;47632;21,1;485145;7,4;568414;3;50;20000;Q 1719 9154,E 8400 9869,L 8621 4826,Q 3373 1062,S 7014 3508,L 1677 0729,M 2706 8313,H 9436 3455,F 8587 2966,Q 0248 0419,M 2633 9102,G 7495 5389,Q 8130 5119,J 3474 4528,H 8115 7241,T 3577 9879,T 5134 3255,F 0729 6303,E 5663 6965,V 8527 5416,B 0823 5213,E 9505 3061,I 5053 3238,I 7563 5518,K 0346 9111,O 4596 7079,F 8507 5024,I 2858 1515,K 0750 5664,C 3074 5866,P 1319 9251,R 8615 0906,S 9082 8421,J 4508 8314,L 0635 6839,Q 2847 5629,F 4277 5192,C 3028 8251,O 2295 4132,M 1167 4274,R 9196 2606,F 5605 5089,M 7614 2212,Q 1282 3623,R 8005 4726,K 3487 2200,H 9777 9110,S 1534 9831,Q 5887 7948,M 1679 7418;1839609;eur;
20211004;VENDREDI;31/12/2021;02/03/2022;18;2;11;1;48;7;1-2-11-18-48+7;1;13000000;10;74854,2;103;2369,3;1080;1016,8;6596;79,5;49425;47,7;94097;15,6;701206;7,5;1181373;3;50;20000;D 9403 5359,V 8495 2467,D 9722 0794,M 3283 6860,N 5759 5305,M 9029 8542,V 8475 7781,N 4003 2954,O 6577 4194,V 8206 3613,M 8202 0520,J 4529 3851,C 0627 4550,B 9429 5639,D 2328 1789,R 1172 0948,O 2913 1942,E 1875 1071,L 0550 4654,C 4793 5422,N 6891 2360,P 1737 6223,C 1159 8469,C 4224 0380,U 3010 9477,E 8566 0127,S 4560 2724,U 6398 8278,K 7925 5206,K 7919 2285,J 1902 5753,V 6714 7394,M 3050 9786,I 9643 8090,A 4839 4925,H 7510 5671,L 4191 2635,C 0507 4053,Q 5974 2978,F 6304 2511,Q 6795 3008,J 0808 1538,A 9393 5901,H 4831 8658,G 7755 6282,I 7157 8276,C 3967 7378,N 8421 7347,D 8488 3494,J 2410 9059;9925757;eur;
20211003;VENDREDI;13/08/2021;12/11/2021;7;40;11;48;41;10;7-11-40-41-48+10;0;13000000;3;221143;68;3180,7;684;1422,9;3415;136,1;35335;59,2;52138;24,9;544597;8,6;724040;3;50;20000;H 6788 4998,E 2408 2439,U 0623 4475,E 8471 6144,C 4343 7366,T 9394 4230,Q 0396 9560,A 9963 9934,S 2770 5068,L 7713 4470,I 4972 6843,D 8807 6371,N 6080 3597,E 4625 4544,A 6349 7129,T 5048 9976,T 7381 0335,I 5917 6136,E 2123 8017,H 4659 1138,H 5295 6722,U 3799 7923,K 8044 2709,N 1752 8391,R 9488 4131,D 6403 3825,O 8231 6981,T 9313 7096,P 5019 9643,O 1225 1374,E 9406 2812,T 5928 6469,Q 6636 3549,J 3031 1072,F 7865 7203,C 2359 5798,S 1272 1777,G 5576 7013,I 0009 6554,A 1520 1944,S 9500 8268,A 5441 4294,C 8415 2471,K 0820 5212,R 6935 2990,F 6929 0866,N 0602 9905,V 5197 0845,L 8381 1392,U 2244 5320;1455915;eur;
20211002;VENDREDI;21/05/2021;20/08/2021;11;43;27;2;20;4;2-11-20-27-43+4;0;13000000;7;54662;55;2268,1;644;871,6;3061;87,5;27081;44,5;39155;19,1;357461;7,5;498066;3;50;20000;R 7496 3656,V 8396 9458,S 7808 8537,H 6071 6401,Q 6782 7490,A 3197 3222,B 5553 3405,I 8115 5263,R 1479 3773,K 9274 7935,F 0827 3413,K 3873 0572,P 7025 5403,G 6732 3371,L 2905 8705,P 5210 5879,O 2367 4720,Q 2633 3394,G 0261 7370,A 3499 5856,G 6546 5617,A 0644 3914,R 5972 8879,D 7812 9261,V 3624 2122,U 3776 5706,H 5258 6215,I 0296 2512,Q 4417 9978,G 8813 7623,Q 3622 8054,F 2190 5171,J 2312 0019,T 1324 0401,D 7391 1326,D 1632 8200,O 1265 6740,K 0973 5179,N 5884 0681,E 5277 5465,I 0963 8402,T 0159 5866,G 7124 4874,J 5018 5441,R 4765 1028,O 1998 8698,Q 0039 2488,R 4526 1311,B 9195 8282,Q 7324 7165;3643285;eur;
20211001;VENDREDI;12/02/2021;15/04/2021;11;38;31;27;25;1;11-25-27-31-38+1;0;13000000;1;446545,6;44;3308,6;700;935,8;2558;122,3;29128;48,3;36190;24,2;398500;7,9;474263;3;50;20000;O 9720 4498,M 0169 1599,L 9013 7406,S 3208 5699,O 7103 5076,I 2228 9799,U 7120 4116,G 0687 0237,I 2913 3442,H 9151 7727,B 8691 8076,K 7241 1655,A 4984 1203,M 5822 9822,N 0561 6586,I 4403 4131,C 3136 0139,R 6408 5426,K 3150 9683,K 1570 9951,H 5838 8573,B 5633 9002,K 9663 3599,M 8107 6573,T 5664 9661,C 5936 8697,L 5186 4363,T 8258 5458,V 8380 4055,O 3121 3217,N 9035 9848,G 4151 1150,O 0108 4261,R 5781 6429,N 6872 9862,T 2774 3177,H 5560 7926,G 2876 1842,S 1590 8676,R 9736 4423,F 5446 3298,I 5389 4524,V 4997 5979,N 5517 3583,Q 0485 0482,N 2442 9901,O 0273 2906,V 2890 6292,O 7526 4720,T 5841 0135;6470256;eur;
20200004;JEUDI;31/12/2020;01/04/2021;47;21;12;8;6;3;6-8-12-21-47+3;1;13000000;5;141412,2;163;1414,2;1345;771,2;6713;73,7;54811;40,6;84412;16,4;699358;7,1;996425;3;50;20000;F 0079 7554,Q 2851 0526,T 8518 5865,A 9323 6985,A 0689 7508,V 6953 2924,L 2079 0784,H 7862 7931,Q 1223 0779,P 7562 8580,U 1302 2795,H 0802 1594,P 8636 4810,K 1435 3955,B 3701 8487,G 1925 9452,D 1083 0284,F 4826 2762,R 7103 6046,J 6263 0242,I 8178 1672,R 7521 0676,B 8142 8038,C 2699 1296,G 0659 0554,U 5199 4365,E 6552 0728,C 2614 3571,G 2863 5217,V 3914 4217,H 5731 3606,D 9559 5968,F 4399 4538,V 8103 9826,M 1142 6076,P 2040 2280,R 2096 7738,J 2378 2091,F 7127 0954,Q 1870 9449,S 0446 0421,B 4125 2454,V 8357 3729,U 4432 1761,H 0684 2302,T 1238 5914,R 8963 0760,B 4433 0439,K 4979 2560,R 8397 6763;3884681;eur;
20200003;VENDREDI;13/11/2020;13/01/2021;43;27;38;44;2;10;2-27-38-43-44+10;0;13000000;7;104505,6;68;3507,2;771;1391,9;3571;143,5;37363;61,7;53793;26,6;566508;9,1;789636;3;50;20000;T 1975 1805,F 0560 2934,B 9308 1245,R 0329 9257,V 3968 5753,O 7635 4221,S 6468 0630,P 2149 6619,J 6208 6816,O 7071 5885,P 1455 7075,O 8603 8206,J 3848 4351,D 6749 2407,U 0757 3233,N 5402 7500,B 6725 0954,D 5784 3804,J 6859 4316,I 9342 6812,S 7613 2998,P 6073 9304,R 8957 4856,S 8366 3348,H 4180 1835,M 4691 6983,F 6351 6759,B 6416 4545,T 7235 1030,N 1631 4766,V 8304 3735,H 2185 6399,E 1800 5953,A 0988 1522,B 3800 4922,F 2597 2929,J 8476 7823,V 3404 2576,H 0156 3887,G 3135 8853,B 6732 4849,L 1662 1748,V 5020 4531,Q 5766 0545,T 0393 9930,O 3008 5281,H 0609 3292,T 2847 1461,S 4920 9316,V 8318 4405;0 973 006;eur;
20200002;VENDREDI;13/03/2020;13/05/2020;36;7;19;46;18;2;7-18-19-36-46+2;0;13000000;1;722953;75;3142,6;773;1372;4290;118;40782;55,9;64504;21,9;630131;8,1;863024;3;50;20000;S 4339 5423,B 5171 1319,S 1648 9250,Q 8656 6079,B 7291 6399,L 4796 2084,C 1156 6734,M 5895 9987,D 7964 0241,S 4733 4067,U 1905 9562,L 9445 3053,S 6139 4619,K 8258 3327,J 2066 8314,E 4460 3579,I 1359 6336,P 2560 4339,D 7168 4406,R 6781 4274,T 0461 0387,D 7041 9903,L 1340 5942,I 4971 9088,U 4351 2419,U 3045 2741,L 1250 8762,N 9426 4614,O 8243 3746,H 1280 7517,N 9811 0717,S 1788 6834,V 4099 3163,U 3397 2845,B 7283 9632,B 9207 9058,O 0602 5602,S 8580 6781,I 4207 7098,U 7328 1203,V 4640 9172,D 0520 4410,I 5392 7850,A 8426 7576,N 7453 0373,T 0166 4270,R 7833 9799,U 0002 0828,A 7157 3689,S 7449 1715;8059636;eur;
20200001;VENDREDI;14/02/2020;15/04/2020;23;5;28;27;10;10;5-10-23-27-28+10;1;13000000;9;58233,7;99;1725,9;1091;704,7;3866;94,9;41153;40,1;48699;21,1;528351;7;555748;3;50;20000;K 8805 9843,F 3922 7928,O 0063 8846,A 0150 2944,M 3978 3607,S 5119 2090,R 1806 2386,K 7838 5750,G 8727 8855,L 9981 8128,D 5785 4842,I 4583 6942,D 4391 5525,S 8821 8471,B 2212 3134,H 0626 9476,C 8721 8378,R 9852 8746,E 4660 9160,I 8964 7719,K 9852 8718,V 3844 9523,K 6215 1750,B 8498 9473,R 6981 0009,I 1515 7694,V 7459 7620,O 9782 4721,R 5346 6683,H 1062 9929,P 1470 3031,L 1721 2835,V 2162 9665,L 8144 9953,V 8199 6224,C 1495 1108,G 1214 5360,S 9433 4629,I 6245 7838,S 1122 3449,V 2401 9601,B 6621 0665,P 1536 8974,K 0305 8718,P 9854 1529,A 2106 9341,A 6305 5844,O 5403 1293,C 9258 3566,Q 3339 7158;4085243;eur;
20199001;VENDREDI;13/12/2019;01/01/1970;19;6;29;8;43;6;6-8-19-29-43+6;1;13000000;6;120163,8;142;1655,3;1167;906,3;5610;90;50806;44,7;73147;19,3;677219;7,5;859866;3;50;20000;H 8930 1252,G 8964 2865,J 1532 1196,C 1025 1125,M 8164 7985,B 6575 6197,R 0970 9355,G 5702 6142,V 4586 5080,K 4865 2794,G 8849 6006,A 3886 4988,N 9554 8455,V 2704 4870,G 4958 6932,I 9395 3342,V 4972 9295,T 8596 7592,D 4293 2479,V 8217 9865,R 2760 2077,V 8238 5418,K 0520 9562,N 5642 2504,J 3947 4066,E 9566 0920,V 5510 9817,Q 8729 9024,R 2344 3282,L 3638 6303,I 1688 3215,H 1134 1610,K 5136 8665,A 5133 0064,G 3547 1478,F 5550 5044,H 7218 8879,T 1734 2929,K 1747 9623,H 2901 4475,I 5798 7570,M 9168 7541,L 1092 0829,S 5648 2235,D 8964 9977,K 5890 0843,E 5669 7367,O 8352 7100,F 8643 8133,A 3364 0015;6894214;eur;
2019002;VENDREDI;13/09/2019;13/11/2019;28;32;10;22;9;6;9-10-22-28-32+6;0;13000000;7;150000;105;2000;979;1000;4620;100;46597;50;67230;20;680338;10;829690;3;50;20000;B 2170 5114,L 7573 6456,D 4187 8926,D 4348 7515,P 3206 4340,C 9121 5139,N 2619 6362,V 7820 4444,N 4404 2024,R 4244 0868,V 7069 9582,P 5610 3686,I 8149 6769,U 8907 9906,K 1786 5740,C 0493 7879,M 5386 4946,F 9092 3436,K 3198 2697,I 4724 7107,V 0242 3055,V 7906 9125,M 0636 7631,R 6713 6899,I 4526 1262,T 9730 6477,J 0011 0409,R 9777 0739,O 6849 7200,U 1556 6773,L 2833 7045,B 5779 0841,C 2509 2214,D 1637 2033,I 5144 7967,K 9040 0930,A 4340 3118,S 0902 7983,A 0030 0133,S 7336 2135,J 2200 3598,R 4461 3451,D 2680 0223,R 2796 7366,T 1275 5084,S 9374 6401,U 0695 6329,T 5462 3679,O 5714 9493,B 9955 9583;2659557;eur;
2019001;DIMANCHE;14/07/2019;13/09/2019;20;8;45;30;26;1;8-20-26-30-45+1;0;13000000;0;150000;31;2000;404;1000;1604;100;17513;50;23156;20;247409;10;308279;3;50;20000;A 4942 1797,K 4981 0389,D 3339 8080,V 5298 5205,J 2704 3835,K 0169 2918,K 4977 8368,K 8280 0229,F 0662 1486,N 2447 7787,I 6377 7616,U 6247 8434,I 3673 9017,D 7256 5730,B 3968 9693,I 5301 3024,V 8325 1456,B 8307 2894,B 6786 8629,H 7993 8002,H 5510 6466,B 2621 1312,I 0840 3738,M 3519 5765,P 7025 6584,T 2133 7087,H 1821 4413,H 9061 4431,S 1655 3537,Q 0854 2784,M 8800 7590,B 8075 5528,D 3674 2084,M 1018 9890,A 1381 4847,O 2650 9704,Q 4782 7668,Q 4031 3345,N 8449 2542,I 4803 3441,L 0882 7006,M 8807 5437,P 8260 0150,B 2181 2303,C 9689 0447,F 0132 7971,C 0384 0667,N 0263 6394,G 7846 0198,N 5061 2937;6916126;eur;
